fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country
4332,2166,3056.0,0.0,63.0,14.0,62.0,13.0,0.0,0.0,0.0,0.0,2.0,227,6,3056.0,2954.0,2954.0,3.0,0,0,0,1,1,3,300,185.42,155.0,185.42,0.0,38.20123203285421,16,5,0,0.0,7,4
4331,2166,2954.0,1.0,154.0,78.0,119.0,47.0,3.0,2.0,0.0,0.0,645.0,227,6,3056.0,2954.0,2954.0,3.0,0,0,0,1,1,3,300,170.18,155.0,180.34,0.0,36.99657768651608,8,4,0,0.0,7,4
4330,2165,811.0,0.0,47.0,23.0,23.0,4.0,0.0,0.0,5.0,0.0,0.0,227,71,811.0,3513.0,3513.0,3.0,0,0,0,1,1,3,300,182.88,155.0,185.42,0.0,35.63860369609856,14,2,0,0.0,7,4
4329,2165,3513.0,0.0,104.0,67.0,67.0,38.0,6.0,4.0,0.0,0.0,735.0,227,71,811.0,3513.0,3513.0,3.0,0,0,0,1,1,3,300,175.26,155.0,180.34,0.0,44.58316221765914,17,10,0,0.0,7,4
4328,2164,1414.0,0.0,153.0,119.0,42.0,19.0,2.0,2.0,0.0,1.0,791.0,227,6,1414.0,2714.0,1414.0,3.0,0,1,0,1,1,3,300,172.72,145.0,175.26,0.0,35.10198494182067,9,6,0,0.0,7,4
4327,2164,2714.0,0.0,38.0,19.0,26.0,7.0,2.0,1.0,2.0,0.0,19.0,227,6,1414.0,2714.0,1414.0,3.0,0,1,0,1,1,3,300,180.34,145.0,187.96,0.0,35.44421629021218,14,5,0,0.0,7,4
4326,2163,173.0,1.0,118.0,72.0,102.0,56.0,0.0,0.0,0.0,0.0,264.0,227,68,173.0,1502.0,173.0,3.0,0,5,0,0,153,2,282,185.42,185.0,185.42,0.0,41.700205338809035,17,9,0,0.0,7,4
4325,2163,1502.0,0.0,102.0,61.0,78.0,39.0,6.0,5.0,0.0,0.0,160.0,227,68,173.0,1502.0,173.0,3.0,0,5,0,0,153,2,282,180.34,205.0,180.34,0.0,42.29158110882957,12,2,0,1.0,7,4
4324,2162,2071.0,0.0,192.0,164.0,48.0,20.0,0.0,0.0,0.0,0.0,71.0,227,55,2071.0,415.0,2071.0,3.0,0,4,0,1,1,3,300,167.64,125.0,167.64,0.0,41.44284736481862,14,13,1,0.0,7,4
4322,2161,2636.0,0.0,150.0,33.0,150.0,33.0,1.0,1.0,0.0,0.0,9.0,227,71,2636.0,2801.0,2636.0,3.0,0,9,0,1,1,3,300,162.56,125.0,165.1,0.0,40.55578370978782,22,12,0,2.0,7,4
4320,2160,4050.0,0.0,253.0,76.0,253.0,76.0,0.0,0.0,0.0,0.0,5.0,226,165,4050.0,3122.0,4050.0,5.0,1,1,0,1,1,5,300,170.18,135.0,177.8,0.0,37.541409993155376,31,8,0,0.0,0,0
4319,2160,3122.0,0.0,275.0,63.0,272.0,60.0,11.0,2.0,0.0,0.0,57.0,226,165,4050.0,3122.0,4050.0,5.0,1,1,0,1,1,5,300,167.64,135.0,172.72,0.0,42.4394250513347,23,11,1,0.0,0,0
4318,2159,3051.0,0.0,81.0,22.0,81.0,22.0,5.0,1.0,0.0,0.0,15.0,226,75,3051.0,1457.0,1457.0,3.0,0,10,0,1,1,3,300,182.88,205.0,190.5,0.0,44.498288843258045,19,8,1,0.0,0,0
4317,2159,1457.0,0.0,152.0,40.0,152.0,40.0,0.0,0.0,0.0,0.0,0.0,226,75,3051.0,1457.0,1457.0,3.0,0,10,0,1,1,3,300,187.96,205.0,190.5,1.0,47.81108829568789,23,10,0,0.0,0,0
4316,2158,1361.0,0.0,95.0,73.0,71.0,51.0,1.0,1.0,0.0,0.0,384.0,226,0,1361.0,695.0,695.0,3.0,0,6,0,0,5,3,25,193.04,265.0,203.2,0.0,43.854893908282,47,19,0,1.0,0,0
