fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,finish_time,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,cumulative_ctrl_time,cumulative_reversals,cumulative_submission_att,cumulative_takedown_succ,cumulative_takedown_att,cumulative_sig_strikes_att,cumulative_total_strikes_succ,cumulative_total_strikes_att,cumulative_knockdowns,avg_finish_time,f_2_fight_stat_id,f_2_fight_id,f_2_fighter_id,f_2_knockdowns,f_2_total_strikes_att,f_2_total_strikes_succ,f_2_sig_strikes_att,f_2_sig_strikes_succ,f_2_takedown_att,f_2_takedown_succ,f_2_submission_att,f_2_reversals,f_2_ctrl_time,f_2_event_id,f_2_referee,f_2_f_1,f_2_f_2,f_2_winner,f_2_num_rounds,f_2_title_fight,f_2_weight_class,f_2_gender,f_2_result,f_2_finish_time,f_2_fighter_height_cm,f_2_fighter_weight_lbs,f_2_fighter_reach_cm,f_2_fighter_stance,f_2_fighter_dob,f_2_fighter_w,f_2_fighter_l,f_2_fighter_d,f_2_fighter_nc_dq,f_2_cumulative_ctrl_time,f_2_cumulative_reversals,f_2_cumulative_submission_att,f_2_cumulative_takedown_succ,f_2_cumulative_takedown_att,f_2_cumulative_sig_strikes_att,f_2_cumulative_total_strikes_succ,f_2_cumulative_total_strikes_att,f_2_cumulative_knockdowns,f_2_avg_finish_time
9861,4931,16.0,0.0,204.0,118.0,142.0,63.0,8.0,2.0,0.0,1.0,280.0,468,5,375.0,16.0,16.0,3.0,0,2,1,1,300,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,478.0,1.0,2.0,4.0,13.0,394.0,264.0,483.0,0.0,273.6666666666667,9862.0,4931.0,375.0,0.0,65.0,33.0,62.0,30.0,1.0,0.0,0.0,0.0,68.0,468.0,5.0,375.0,16.0,16.0,3.0,0.0,2.0,1.0,1.0,300.0,154.94,115.0,152.4,0.0,34.60643394934976,13.0,6.0,0.0,0.0,2011.0,0.0,1.0,7.0,42.0,1205.0,870.0,1531.0,1.0,275.3
10894,5447,16.0,0.0,413.0,170.0,408.0,165.0,8.0,1.0,0.0,0.0,74.0,511,16,16.0,2396.0,16.0,5.0,1,2,1,1,300,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,553.0,1.0,2.0,5.0,21.0,840.0,463.0,934.0,1.0,232.6,10895.0,5448.0,960.0,0.0,89.0,40.0,89.0,40.0,3.0,0.0,0.0,0.0,0.0,511.0,3.0,4089.0,960.0,4089.0,5.0,1.0,5.0,0.0,1.0,300.0,182.88,185.0,185.42,1.0,46.90212183436002,13.0,5.0,0.0,0.0,1469.0,0.0,0.0,21.0,63.0,1352.0,872.0,1576.0,10.0,190.92307692307693
11936,5968,16.0,0.0,11.0,7.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,559,16,16.0,1523.0,1523.0,5.0,1,2,1,0,78,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,553.0,1.0,2.0,5.0,21.0,851.0,470.0,945.0,1.0,206.83333333333331,11937.0,5969.0,1819.0,0.0,79.0,56.0,52.0,31.0,0.0,0.0,0.0,0.0,0.0,559.0,0.0,310.0,1819.0,310.0,5.0,1.0,3.0,0.0,0.0,62.0,180.34,170.0,187.96,0.0,39.36481861738535,35.0,17.0,0.0,0.0,2569.0,1.0,7.0,17.0,32.0,2134.0,1487.0,2617.0,9.0,250.9
13072,6536,16.0,1.0,130.0,94.0,102.0,69.0,6.0,3.0,0.0,0.0,169.0,607,6,16.0,2396.0,16.0,3.0,0,2,1,0,148,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,939.0,1.0,2.0,13.0,38.0,1126.0,726.0,1347.0,2.0,211.125,13073.0,6537.0,827.0,0.0,180.0,128.0,102.0,55.0,3.0,3.0,3.0,2.0,529.0,607.0,4.0,730.0,827.0,730.0,5.0,1.0,8.0,1.0,1.0,300.0,167.64,125.0,172.72,0.0,30.757015742642025,19.0,3.0,0.0,0.0,2494.0,2.0,9.0,15.0,17.0,537.0,486.0,783.0,3.0,298.1666666666667
14322,7161,16.0,1.0,358.0,296.0,217.0,163.0,7.0,6.0,0.0,0.0,967.0,659,15,16.0,2057.0,16.0,5.0,1,2,1,1,300,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,1996.0,2.0,3.0,19.0,45.0,1421.0,1064.0,1795.0,3.0,205.4,14323.0,7162.0,1426.0,1.0,36.0,26.0,35.0,25.0,0.0,0.0,0.0,0.0,18.0,659.0,6.0,541.0,1426.0,1426.0,5.0,1.0,4.0,0.0,0.0,51.0,180.34,135.0,182.88,2.0,29.418206707734427,17.0,1.0,0.0,1.0,115.0,1.0,3.0,3.0,7.0,1153.0,734.0,1184.0,6.0,225.4
5155,2578,17.0,0.0,60.0,37.0,25.0,10.0,10.0,4.0,2.0,0.0,209.0,263,28,196.0,17.0,17.0,3.0,1,3,0,1,300,180.34,155.0,180.34,1.0,34.04243668720055,23,9,1,0.0,209.0,0.0,2.0,4.0,10.0,25.0,37.0,60.0,0.0,300.0,5157.0,2579.0,2619.0,0.0,127.0,52.0,97.0,27.0,6.0,1.0,0.0,0.0,225.0,263.0,55.0,2232.0,2619.0,2232.0,5.0,0.0,3.0,0.0,0.0,62.0,185.42,170.0,190.5,0.0,36.6735112936345,17.0,2.0,0.0,0.0,2775.0,1.0,7.0,21.0,48.0,1013.0,1062.0,1780.0,2.0,270.8888888888889
6028,3014,17.0,0.0,67.0,47.0,46.0,28.0,7.0,0.0,0.0,0.0,226.0,304,15,17.0,219.0,219.0,3.0,0,0,0,1,300,180.34,155.0,180.34,1.0,34.04243668720055,23,9,1,0.0,918.0,0.0,3.0,6.0,21.0,111.0,214.0,306.0,0.0,300.0,6029.0,3015.0,2110.0,1.0,50.0,29.0,50.0,29.0,0.0,0.0,0.0,0.0,11.0,304.0,0.0,2493.0,2110.0,2110.0,3.0,0.0,3.0,0.0,0.0,137.0,180.34,170.0,182.88,0.0,37.55783709787816,18.0,6.0,0.0,1.0,124.0,2.0,0.0,0.0,0.0,436.0,221.0,479.0,1.0,260.6666666666667
3426,1713,18.0,0.0,18.0,2.0,18.0,2.0,0.0,0.0,3.0,0.0,45.0,185,3,18.0,3103.0,3103.0,3.0,0,1,0,1,300,172.72,155.0,175.26,0.0,45.667351129363446,15,4,0,0.0,45.0,0.0,4.0,0.0,0.0,29.0,6.0,29.0,0.0,174.0,3427.0,1714.0,1677.0,0.0,180.0,103.0,142.0,68.0,7.0,4.0,0.0,0.0,365.0,185.0,84.0,3809.0,1677.0,1677.0,3.0,0.0,6.0,0.0,1.0,300.0,193.04,240.0,203.2,0.0,41.59890485968515,20.0,4.0,0.0,0.0,365.0,0.0,0.0,4.0,7.0,142.0,103.0,180.0,0.0,300.0
14410,7205,23.0,0.0,101.0,36.0,101.0,36.0,0.0,0.0,1.0,0.0,17.0,663,4,23.0,2846.0,23.0,3.0,0,0,0,2,206,185.42,155.0,195.58,2.0,24.71731690622861,14,1,0,0.0,121.0,0.0,1.0,0.0,1.0,486.0,172.0,504.0,1.0,268.6666666666667,14411.0,7206.0,1660.0,0.0,19.0,6.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,663.0,1.0,946.0,1660.0,946.0,3.0,0.0,4.0,0.0,0.0,54.0,177.8,135.0,187.96,0.0,34.2340862422998,14.0,4.0,0.0,0.0,66.0,0.0,0.0,1.0,2.0,26.0,12.0,30.0,0.0,122.0
11626,5813,26.0,0.0,190.0,114.0,114.0,44.0,1.0,1.0,0.0,0.0,126.0,546,4,26.0,3092.0,3092.0,3.0,0,3,0,1,300,182.88,170.0,190.5,0.0,33.648186173853524,17,7,0,0.0,337.0,1.0,7.0,3.0,10.0,373.0,276.0,508.0,1.0,254.25,11627.0,5814.0,471.0,0.0,171.0,109.0,148.0,86.0,2.0,0.0,0.0,0.0,113.0,546.0,0.0,3022.0,471.0,3022.0,3.0,0.0,6.0,0.0,1.0,300.0,182.88,264.0,187.96,1.0,30.28062970568104,7.0,3.0,0.0,1.0,184.0,0.0,0.0,0.0,2.0,172.0,136.0,206.0,1.0,183.0
