fight_stat_id,fighter_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country,cumulative_ctrl_time,cumulative_reversals,cumulative_submission_att,cumulative_takedown_succ,cumulative_takedown_att,cumulative_sig_strikes_att,cumulative_total_strikes_succ,cumulative_total_strikes_att,cumulative_knockdowns,avg_finish_time
5624,17.0,45,17.0,1422.0,17.0,3.0,0,0,0,180.34,155.0,180.34,1.0,34.04243668720055,23,9,1,0.0,119,13,286.6666666666667,0.0,0.3333333333333333,1.0,4.333333333333333,44.333333333333336,76.0,109.0,0.0,300.0
6028,17.0,15,17.0,219.0,219.0,3.0,0,0,0,180.34,155.0,180.34,1.0,34.04243668720055,23,9,1,0.0,4,0,188.5,0.0,0.0,0.5,4.5,46.5,49.0,74.0,0.0,300.0
6316,17.0,7,17.0,2362.0,2362.0,3.0,0,0,0,180.34,155.0,180.34,1.0,34.04243668720055,23,9,1,0.0,109,25,151.0,0.0,0.0,1.0,2.0,47.0,51.0,81.0,0.0,300.0
4140,18.0,6,18.0,347.0,347.0,3.0,0,0,0,172.72,155.0,175.26,0.0,45.667351129363446,15,4,0,0.0,119,13,76.0,0.0,0.0,2.0,2.0,93.0,46.0,102.0,0.0,300.0
13369,23.0,0,1415.0,23.0,1415.0,3.0,0,0,0,185.42,155.0,195.58,2.0,24.71731690622861,14,1,0,0.0,0,0,40.333333333333336,0.0,0.3333333333333333,0.0,0.3333333333333333,162.0,57.333333333333336,168.0,0.3333333333333333,268.6666666666667
13897,23.0,4,287.0,23.0,23.0,3.0,0,0,0,185.42,155.0,195.58,2.0,24.71731690622861,14,1,0,0.0,12,0,60.5,0.0,0.5,0.0,0.5,154.0,60.0,163.0,0.5,253.0
14410,23.0,4,23.0,2846.0,23.0,3.0,0,0,0,185.42,155.0,195.58,2.0,24.71731690622861,14,1,0,0.0,0,0,17.0,0.0,1.0,0.0,0.0,101.0,36.0,101.0,0.0,206.0
14361,25.0,9,3488.0,25.0,3488.0,3.0,0,1,0,172.72,145.0,172.72,0.0,27.422313483915126,11,4,0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,41.0,9.0,41.0,0.0,231.0
9293,26.0,55,1004.0,26.0,1004.0,3.0,0,3,0,182.88,170.0,190.5,0.0,33.648186173853524,17,7,0,0.0,70,18,75.2,0.2,1.4,0.8,2.4,115.6,73.4,143.6,0.2,263.4
9589,26.0,39,2029.0,26.0,2029.0,3.0,0,3,0,182.88,170.0,190.5,0.0,33.648186173853524,17,7,0,0.0,64,13,53.5,0.0,0.5,0.5,1.75,128.5,76.0,154.75,0.25,254.25
